AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
39964123,229637,09/11/2022,09/10/2024,Homemaker and Companion Service,CIRCLE OF HOPE INC,1550 WEST 9TH STREET,,JACKSONVILLE,FL,32209,Duval,(904) 537-6124,1550 W 10TH ST,,JACKSONVILLE,FL,32209-5416,Duval,REGISTERED,CIRCLE OF HOPE INC,06/13/2006,LINDA ANN BROWN,0,Not-For-Profit,
39967844,232953,03/05/2021,03/04/2023,Homemaker and Companion Service,CIRCLE OF LOVE HOMECARE ASSISTANCE & FAMILY SUPPORT SERVICES COR,1301 RIVERPLACE BLVD STE 800,,JACKSONVILLE,FL,32207-9032,Duval,(904) 859-5792,4446 HENDRICKS AVE # 260,,JACKSONVILLE,FL,32207-6369,Duval,REGISTERED,CIRCLE OF LOVE HOMECARE ASSISTANCE&FAMILY SUPPORT SERVICES CORP,10/24/2012,BECKY LASHONE HAMILTON,0,For-Profit,circleoflovehomecare.org
26985924,,07/17/2018,,Clinical Laboratory,CISCA PULMONARY  CRITICAL CARE INC,3627 UNIVERSITY BLVD S STE 300,,JACKSONVILLE,FL,32216,Duval,(904) 396-0300,3627 UNIVERSITY BLVD S STE 300,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,CISCA PULMONARY CRITICAL CARE INC,02/23/2016,,0,For-Profit,
26985930,,07/17/2018,,Clinical Laboratory,CISCA PULMONARY CRITICAL CARE INC,1361 13TH AVE SOUTH  STE 245,,JACKSONVILLE BEACH,FL,32250,Duval,(904) 493-7174,1361 13TH AVE SOUTH  STE 245,,JACKSONVILLE BEACH,FL,32250,Duval,FED CERTIFIED,CISCA PULMONARY CRITICAL CARE INC,02/26/2016,,0,For-Profit,
27002806,,03/12/2021,,Clinical Laboratory,CITIZEN PHARMACY,1545 UNIVERSITY BLVD  N,,JACKSONVILLE,FL,32211,Duval,(904) 619-3776,PO BOX 600047,PO BOX 600047,JACKSONVILLE,FL,32211,Duval,FED CERTIFIED,,,,0,,
19967791,299994763,06/05/2022,06/04/2024,Home Health Agency,CJ'S HOME CARE LLC,6034 CHESTER AVE STE 105A,,JACKSONVILLE,FL,32217,Duval,(904) 307-3895,6034 CHESTER AVE  STE 105A,,JACKSONVILLE,FL,32217,Duval,LICENSED,CJS HOME CARE LLC,09/20/2017,CURLINE DARDEN,0,For-Profit,
39971603,238096,10/26/2021,10/25/2023,Homemaker and Companion Service,CJS HEALING HANDS COMPANION & HOMEMAKER SERVICES,6034 CHESTER AVENUE STE 101,,JACKSONVILLE,FL,32217,Duval,(904) 723-1314,6034 CHESTER AVENUE STE 101,,JACKSONVILLE,FL,32217,Duval,REGISTERED,CURLINE DARDEN,10/26/2021,CURLINE DARDEN,0,For-Profit,
27009109,,03/01/2022,,Clinical Laboratory,CLAITT'S CARING HANDS LLC,2656 CLEAR CIRCLE NORTH,,JACKSONVILLE,FL,32207,Duval,(904) 631-1889,2656 2656 CLEAR CIRCLE NORTH,,JACKSONVILLE,FL,32207,Duval,FED CERTIFIED,,03/01/2022,,0,,
27000085,,,,Clinical Laboratory,CLAY EYE PHYSICIANS AND SURGEONS,11790 SAN JOSE BLVD,,JACKSONVILLE,FL,32223,Duval,(904) 765-2020,11790 SAN JOSE BLVD,,JACKSONVILLE,FL,32223,Duval,FED CERTIFIED,,,,0,,
27000083,,,,Clinical Laboratory,CLAY EYE PHYSICIANS AND SURGEONS,2 SHIRCLIFF WAY STE 10,,JACKSONVILLE,FL,32204,Duval,(904) 272-2020,2 SHIRCLIFF WAY STE 10,,JACKSONVILLE,FL,32204,Duval,FED CERTIFIED,,,,0,,
26991484,,11/04/2019,,Clinical Laboratory,CLAYMAN PLASTIC SURGERY CENTER,2726 ST JOHNS AVE STE 101,,JACKSONVILLE,FL,32205,Duval,(904) 388-6110,2726 ST JOHNS AVE STE 101,,JACKSONVILLE,FL,32205,Duval,FED CERTIFIED,,,,0,,
39971598,236460,04/22/2022,04/21/2024,Homemaker and Companion Service,CLEAR PATHWAYS FOR INDEPENDENCE LLC,7724 LYNCHBURG CT W,,JACKSONVILLE,FL,32277-0928,Duval,(904) 994-1113,3056 W 1ST STREET,NA,JACKSONVILLE,FL,32254-2539,Duval,REGISTERED,CLEAR PATHWAYS FOR INDEPENDENCE LLC,01/10/2020,STEPHANIE BELLAMY,0,For-Profit,
39970814,235790,04/15/2021,04/14/2023,Homemaker and Companion Service,CLIFTON S HARRISON PA,1700 SAN PABLO RD S,APT 518,JACKSONVILLE,FL,32224-2046,Duval,(904) 403-6699,PO BOX 50495,,JACKSONVILLE BEACH,FL,32240,Duval,REGISTERED,CLIFTON S HARRISON PA,12/06/2018,CLIFTON HARRISON,0,For-Profit,
26974675,,01/02/2009,,Clinical Laboratory,CLINICAL NEUROSCIENCE SOLUTIONS INC,6867 SOUTHPOINT DR N,STE 101,JACKSONVILLE,FL,32216,Duval,,6867 SOUTHPOINT DR N,STE 101,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,01/02/2007,,0,For-Profit,
27008521,,01/11/2022,,Clinical Laboratory,CLINICAL NEUROSCIENCE SOLUTIONS INC,8823 SAN JOSE BLVD SUITE 206,,JACKSONVILLE,FL,32217,Duval,(904) 281-5757,5200 BELFORT ROAD SUITE 420,,JACKSONVILLE,FL,32256,Duval,FED CERTIFIED,,01/11/2022,,0,,
26995173,,02/06/2023,,Clinical Laboratory,COASTAL INJURY CLINIC LLC,2700 RIVERSIDE AVE - STE 3,,JACKSONVILLE,FL,32205,Duval,(904) 559-6638,705 WELLS ROAD STE 300,,ORANGE PARK,FL,32073,Clay,FED CERTIFIED,,11/12/2020,,0,,
27004988,,06/03/2022,,Clinical Laboratory,COASTAL INJURY CLINIC LLC,8262 POINT MEADOWS DR - STE 202,,JACKSONVILLE,FL,32256-4700,Duval,(904) 559-6638,PO BOX 1869,,ORANGE PARK,FL,32067,Clay,FED CERTIFIED,,04/21/2021,,0,,
16039,15474,05/07/2021,05/06/2023,Health Care Clinic Exemption,COASTAL MENTAL HEALTH CENTER,8382 BAYMEADOWS RD STE 7,,JACKSONVILLE,FL,32256,Duval,(407) 347-6387,520 W LAKE MARY BLVD STE 204,,SANFORD,FL,32773,Seminole,EXEMP CERTIFIED,,05/07/2021,,0,Not-For-Profit,
12742,15302,04/12/2021,04/11/2023,Health Care Clinic Exemption,COASTAL PLUS MEDICAL CENTER,11761-8 BEACH BLVD,,JACKSONVILLE,FL,32246,Duval,(904) 642-3304,11761-8 BEACH BLVD,,JACKSONVILLE,FL,32246,Duval,EXEMP CERTIFIED,,05/16/2016,,0,For-Profit,
27002077,,,,Clinical Laboratory,COASTAL PLUS MEDICAL CENTER,11761-8 BEACH BLVD,,JACKSONVILLE,FL,32246,Duval,(904) 642-3304,11761-8 BEACH BLVD,,JACKSONVILLE,FL,32246,Duval,FED CERTIFIED,,,,0,,
26997855,,,,Clinical Laboratory,COASTAL SURGERY CENTER,4147 SOUTHPOINT DR E,,JACKSONVILLE,FL,32216,Duval,(904) 332-6774,4147 SOUTHPOINT DR E,,JACKSONVILLE,FL,32216,Duval,FED CERTIFIED,,,,0,,
14960580,1237,12/18/2021,12/17/2023,Ambulatory Surgical Center,COASTAL SURGERY CENTER LLC,4147 SOUTHPOINT DR E,,JACKSONVILLE,FL,32216,Duval,(904) 332-6774,4147 SOUTHPOINT DR E,,JACKSONVILLE,FL,32216,Duval,LICENSED,COASTAL SURGERY CENTER LLC,09/22/2005,STEPHANIE SERAN FEE,0,For-Profit,http://www.coastalcosmetic.com/
11754,17230,08/03/2022,08/02/2024,Health Care Clinic Exemption,COLTMAN AND BAUGHMAN PHYSICAL THERAPY  PA,350 13TH AVE S,,JACKSONVILLE BEACH,FL,32250,Duval,(904) 853-5106,350 13TH AVE S,,JACKSONVILLE BEACH,FL,32250,Duval,EXEMP CERTIFIED,,05/22/2014,,0,For-Profit,
19964813,299992134,01/01/2023,12/31/2024,Home Health Agency,COMFORCARE HOME CARE,9432 BAYMEADOWS RD,STE 120,JACKSONVILLE,FL,32256-7988,Duval,(904) 232-4407,9432 BAYMEADOWS RD,STE 120,JACKSONVILLE,FL,32256-7988,Duval,LICENSED,JOHNSON HOMECARE (JACKSONVILLE) LLC,10/03/2016,CAROL LAUREN REILLY,0,For-Profit,www.comforcarejax.com
39974129,238587,05/24/2022,05/23/2024,Homemaker and Companion Service,COMFORT CARE HOME SERVICES LLC,6501 ARLINGTON EXPRESSWAY,#7109 UNIT B105,JACKSONVILLE,FL,32211,Duval,(904) 235-7278,6501 ARLINGTON EXPRESSWAY,#7109 UNIT B105,JACKSONVILLE,FL,32211,Duval,REGISTERED,COMFORT CARE HOME SERVICES LLC,03/23/2022,NONA HARDAMAN,0,For-Profit,
19965111,299992389,05/11/2022,05/10/2024,Home Health Agency,COMFORT KEEPERS,12276 SAN JOSE BLVD STE 304,,JACKSONVILLE,FL,32223-8632,Duval,(904) 230-9220,12276 SAN JOSE BLVD STE 304,,JACKSONVILLE,FL,32223-8632,Duval,LICENSED,KRM RESOURCES LLC,05/11/2006,NEETA PUBBI,0,For-Profit,jacksonville-126.comfortkeepers.com
19966892,299993928,02/20/2022,02/19/2024,Home Health Agency,COMFORT KEEPERS,9951 ATLANTIC BLVD,STE 220,JACKSONVILLE,FL,32225-6537,Duval,(904) 854-0740,9951 ATLANTIC BLVD,STE 220,JACKSONVILLE,FL,32225-6537,Duval,LICENSED,SUPERIOR SENIOR & DISABLED CARE LLC,06/24/2008,MICHELLE IBRAHIM,0,For-Profit,www.comfortkeepers.com
22910030,5024096,06/01/2022,05/31/2024,Hospice,COMMUNITY HOSPICE OF NORTHEAST FLORIDA INC,4266 SUNBEAM ROAD,,JACKSONVILLE,FL,32257-6030,Duval,(904) 268-5200,4266 SUNBEAM RD,,JACKSONVILLE,FL,32257-6030,Duval,LICENSED,COMMUNITY HOSPICE OF NORTHEAST FLORIDA INC,05/04/1999,PHILLIP WARD,70,Not-For-Profit,www.communityhospice.com
26967312,,11/16/2007,,Clinical Laboratory,COMMUNITY HOSPICE OF NORTHEAST FLORIDA INC,4266 SUNBEAM ROAD,,JACKSONVILLE,FL,32257,Duval,(904) 268-5200,4266 SUNBEAM ROAD,,JACKSONVILLE,FL,32257,Duval,FED CERTIFIED,,11/16/2007,,0,Not-For-Profit,
8804,8496,12/30/2021,12/29/2023,Health Care Clinic Exemption,COMMUNITY PALLIATIVE CONSULTANTS,4266 SUNBEAM RD,,JACKSONVILLE,FL,32257,Duval,(904) 407-7700,4266 SUNBEAM RD,,JACKSONVILLE,FL,32257,Duval,EXEMP CERTIFIED,,09/03/2010,,0,For-Profit,
26998638,,,,Clinical Laboratory,COMMUNITY REHABILITATION CENTER,623 BEECHWOOD ST,,JACKSONVILLE,FL,32206,Duval,(904) 358-1211,623 BEECHWOOD ST,,JACKSONVILLE,FL,32206,Duval,FED CERTIFIED,,,,0,,
27008398,,01/04/2022,,Clinical Laboratory,COMMUNITY REHABILITATIONS CENTER DBA CROSSROADS HEALTH & WELLNES,5960 BEACH BLVD.  STE 3,,JACKSONVILLE,FL,32207,Duval,(904) 701-0229,5960 BEACH BLVD.  STE 3,,JACKSONVILLE,FL,32207,Duval,FED CERTIFIED,,01/04/2022,,0,,
27002922,,04/05/2022,,Clinical Laboratory,COMMUNITY TRANSITION CENTER,451 N CATHERINE STREET,,JACKSONVILLE,FL,32202,Duval,(954) 649-3043,500 E ADAMS STREET,PRETRIAL DETENTION FACILITY,JACKSONVILLE,FL,32202,Duval,FED CERTIFIED,,,,0,,
39971072,235996,08/01/2021,07/31/2023,Homemaker and Companion Service,COMPANION & COMPASSION LLC,856 POYDRAS LN W,,JACKSONVILLE,FL,32218,Duval,(904) 502-4851,856 POYDRAS LN W,,JACKSONVILLE,FL,32218,Duval,REGISTERED,COMPANION & COMPASSION LLC,04/03/2019,CARLLISA WILLIAMS,0,For-Profit,
689600246,203,12/03/2022,12/02/2024,Home Health Agency Exemption,COMPANION & COMPASSION LLC,856 POYDRAS LN W,,JACKSONVILLE,FL,32218,Duval,(904) 502-4851,856 POYDRAS LN W,,JACKSONVILLE,FL,32218,Duval,EXEMP CERTIFIED,COMPANION & COMPASSION LLC,12/03/2020,,0,For-Profit,
42964106,30212408,06/14/2022,06/13/2024,Nurse Registry,COMPANION & COMPASSION LLC,856 POYDRAS LN W,,JACKSONVILLE,FL,32218,Duval,(904) 502-9052,856 POYDRAS LN W,,JACKSONVILLE,FL,32218,Duval,LICENSED,COMPANION & COMPASSION LLC,12/15/2021,CARLLISA WILLIAMS,0,Not-For-Profit,
39972692,237409,03/01/2021,02/28/2023,Homemaker and Companion Service,COMPASSION AND HOPE HOMECARE SERVICES LLC,1275 SUMMIT OAKS DR E,,JACKSONVILLE,FL,32221,Duval,(904) 503-4397,1275 SUMMIT OAKS DR E,,JACKSONVILLE,FL,32221,Duval,REGISTERED,COMPASSION AND HOPE HOMECARE SERVICES LLC,02/04/2021,STACY MCGOWAN,0,For-Profit,
39971390,236409,03/17/2022,03/16/2024,Homemaker and Companion Service,COMPASSIONATE CARE PERSONAL SUPPORT SERVICES LLC,2444 SPIREA STREET,,JACKSONVILLE,FL,32209,Duval,(904) 982-2384,2444 SPIREA STREET,,JACKSONVILLE,FL,32209,Duval,REGISTERED,COMPASSIONATE CARE PERSONAL SUPPORT SERVICES  LLC,12/17/2019,TAMEKA GRAY,0,For-Profit,compassionatecarejax.org
39969059,234366,06/29/2022,06/28/2024,Homemaker and Companion Service,COMPASSIONATE COMPANIONS FOR SENIORS,8540 BAYCENTER RD,,JACKSONVILLE,FL,32256-7420,Duval,(904) 394-5722,8540 BAYCENTER RD,,JACKSONVILLE,FL,32256-7420,Duval,REGISTERED,JEWISH FAMILY AND COMMUNITY SERVICES INC,02/12/2016,HILARY ROTENBERG,0,Not-For-Profit,www.jfcsjax.org
39974447,238785,08/24/2022,08/23/2024,Homemaker and Companion Service,COMPASSIONATE HOME CARE SERVICES  LLC,355 MONUMENT RD APT 25E1,,JACKSONVILLE,FL,32225,Duval,(904) 444-7858,355 MONUMENT RD APT 25E1,,JACKSONVILLE,FL,32225,Duval,REGISTERED,COMPASSIONATE HOME CARE SERVICES  LLC,06/16/2022,MELINDA CHARLES,0,For-Profit,
15233,17720,02/01/2023,01/31/2025,Health Care Clinic Exemption,COMPLETE DIMENSIONS BEHAVIORAL HEALTH CORP,5991 CHESTER AVE STE 106,,JACKSONVILLE,FL,32217,Duval,(321) 438-5594,66 W FLAGLER ST STE 900,,MIAMI,FL,33130,Miami-Dade,EXEMP CERTIFIED,,02/01/2023,,0,For-Profit,
26994695,,10/12/2020,,Clinical Laboratory,COMPLETE DIMENSIONS BEHAVIORAL HEALTH CORP,5991 CHESTER AVE STE 106,,JACKSONVILLE,FL,32217,Duval,(321) 438-5594,66 W FLAGLER ST STE 900,,MIAMI,FL,33130,Miami-Dade,FED CERTIFIED,,10/12/2020,,0,,
